URL,Slug,Titulo,H1,Categoria,Template,Keyword aparente,Intencion,Canonical,Indexable,En sitemap,Enlaces internos,Familia tematica,Posible duplicado,Accion recomendada,Prioridad
/calculadora-empanadas-por-persona-evento-asado-cumple,calculadora-empanadas-por-persona-evento-asado-cumple,Calculadora de empanadas por persona | Hacé Cuentas,Empanadas por persona para eventos,cocina,CalcLayoutV2 ([...slug].astro),empanadas persona evento asado,Planificación (cantidad + compra),(self),Sí,Sí,12,asado,—,Mantener; reforzar enlace a maestra de su familia,Baja
/calculadora-asado-kg-por-persona-cortes-tira-vacio-pollo,calculadora-asado-kg-por-persona-cortes-tira-vacio-pollo,Calculadora Asado: Kg por Persona y Cortes 2026,Calculadora de asado: kg por persona y cortes,cocina,CalcLayoutV2 ([...slug].astro),asado kg persona cortes,Planificación (cantidad + compra),(self),Sí,Sí,6,asado,asado-carne,CANDIDATA A HERRAMIENTA MAESTRA — ampliar,Alta
/calculadora-chorizos-por-invitado-asado,calculadora-chorizos-por-invitado-asado,Calculadora de Chorizos por Invitado en Asado 2026,Calculadora de Chorizos por Invitado en Asado,vida,CalcLayoutV2 ([...slug].astro),chorizos por persona,Planificación (cantidad + compra),(self),Sí,Sí,5,asado,—,Mantener; reforzar enlace a maestra de su familia,Baja
/calculadora-cantidad-hamburguesas-parrilla-cumpleanos,calculadora-cantidad-hamburguesas-parrilla-cumpleanos,¿Cuántas hamburguesas por persona? Calculadora + tabla | Hacé Cuentas,¿Cuántas hamburguesas necesito por persona?,cocina,CalcLayoutV2 ([...slug].astro),cuántas hamburguesas por persona,Planificación (cantidad + compra),(self),Sí,Sí,4,asado,—,Mantener; reforzar enlace a maestra de su familia,Baja
/calculadora-tamano-parrilla-personas-m2,calculadora-tamano-parrilla-personas-m2,Tamaño de parrilla por personas: calculadora + tabla | Hacé Cuentas,¿Qué tamaño de parrilla necesito? Calculá por personas,cocina,CalcLayoutV2 ([...slug].astro),tamaño parrilla personas,Planificación (cantidad + compra),(self),Sí,Sí,4,asado,—,Mantener; reforzar enlace a maestra de su familia,Baja
/calculadora-carne-asado-kg-por-persona,calculadora-carne-asado-kg-por-persona,Calculadora de carne para asado por persona 2026,Calculadora de carne para asado por persona,cocina,CalcLayoutV2 ([...slug].astro),carne por persona asado,Planificación (cantidad + compra),/calculadora-asado-kg-por-persona-cortes-tira-vacio-pollo,Sí,No,3,asado,asado-carne,Ya canonicalizada → calculadora-asado-kg-por-persona-cortes-tira-vacio-pollo (mantener),Baja
/calculadora-asado-por-invitado-kg-carne,calculadora-asado-por-invitado-kg-carne,Calculadora Asado por Invitado Kg Carne 2026 | Gratis,Calculadora de Asado por Invitado - Kg de Carne,vida,CalcLayoutV2 ([...slug].astro),asado por persona,Planificación (cantidad + compra),/calculadora-asado-kg-por-persona-cortes-tira-vacio-pollo,Sí,No,2,asado,asado-carne,Ya canonicalizada → calculadora-asado-kg-por-persona-cortes-tira-vacio-pollo (mantener),Baja
/calculadora-carbon-credit-tonelada-precio-mercado-2026,calculadora-carbon-credit-tonelada-precio-mercado-2026,Precio tonelada CO2 2026: calculadora carbon credits por mercado | Hacé Cuentas,¿Cuánto cuesta una tonelada de CO2 en 2026? Calculadora carbon credits,negocios,CalcLayoutV2 ([...slug].astro),precio tonelada co2 2026,Planificación (cantidad + compra),(self),Sí,Sí,0,asado,—,HUÉRFANA — agregar enlaces internos (hub + relacionadas),Media-alta
/calculadora-conversor-tazas-a-mililitros,calculadora-conversor-tazas-a-mililitros,Conversor de tazas a mililitros 2026 — Gratis | Hacé Cuentas,Conversor de tazas a mililitros,cocina,CalcLayoutV2 ([...slug].astro),conversor tazas a mililitros,Conversión / cantidad de receta,(self),Sí,Sí,14,cocina,—,Mantener; reforzar enlace a maestra de su familia,Baja
/calculadora-multiplicar-dividir-receta-porciones,calculadora-multiplicar-dividir-receta-porciones,Dividir o Multiplicar una Receta — Calculadora de Porciones,Ajustar una receta a más o menos porciones,cocina,CalcLayoutV2 ([...slug].astro),multiplicar receta,Conversión / cantidad de receta,(self),Sí,Sí,14,cocina,—,Mantener; reforzar enlace a maestra de su familia,Baja
