backtest-estrategia-trading-sharpe-ratio	tasaLibreRiesgo	Backtest Sharpe ratio
beta-accion-riesgo	rendimientoAccion,rendimientoMercado	Beta de Acción — Riesgo Sistemático
calculadora-aave-lending-apy-supply	supplyApy,rewardApr	Calculadora Aave v3 Lending (Supply APY)
calculadora-apalancamiento-liquidacion	leverage,mantenimientoPorcentaje	Calculadora de Apalancamiento y Precio de Liquidación
calculadora-black-scholes-opcion-call-put	tasaRiesgo	Calculadora Black-Scholes (precio de opción Call/Put)
calculadora-breakeven-trade-comisiones	spreadPorcentaje	Calculadora de Breakeven por Comisiones y Spread
calculadora-compound-supply-borrow	supplyApy,borrowApy,compRewardApr	Calculadora Compound v3 (Supply vs Borrow)
calculadora-cripto-tax-argentina-ganancia	incluyeMonotributo	Calculadora Impuesto Cripto Argentina (AFIP 2026)
calculadora-curve-stable-pool-apy	baseApy,crvApr,extraRewardsApr	Calculadora Curve Finance Stable Pools
calculadora-eigen-layer-restaking	baseEthApr,avsRewardApr	Calculadora de Restaking EigenLayer
calculadora-fire-retiro-temprano	rendimientoAnual,tasaRetiroPorcentaje	Calculadora FIRE (Financial Independence, Retire Early)
calculadora-gmx-glp-apr-ingreso	ethRewardApr,escGmxApr	Calculadora GMX GLP APR
calculadora-greeks-delta-gamma-theta	tasaRiesgo	Calculadora de Greeks (Delta, Gamma, Theta, Vega, Rho)
calculadora-hipoteca-banco-ciudad-procrear	uvaActual	Calculadora de hipoteca Banco Ciudad Procrear UVA
calculadora-hipoteca-uva-santander-argentina	uvaActual	Calculadora de hipoteca UVA Santander Argentina
calculadora-liquid-staking-lido-reth	apr	Calculadora Liquid Staking (Lido stETH vs Rocket Pool rETH)
calculadora-morpho-blue-markets-apy	supplyApy,rewardApr,ltv,borrowApy	Calculadora Morpho Blue (Markets Isolated)
calculadora-pendle-fixed-yield	impliedApy	Calculadora Pendle PT Fixed Yield
calculadora-position-size-cripto-leverage	leverage	Calculadora de Position Size en Cripto (con leverage)
calculadora-staking-ada-cardano-pool	apy	Calculadora de Staking ADA (Cardano)
calculadora-staking-atom-cosmos-validador	apy	Calculadora de Staking ATOM (Cosmos)
calculadora-staking-avax-avalanche	apy	Calculadora de Staking AVAX (Avalanche)
calculadora-staking-bnb-binance-launchpool	apy	Calculadora de Staking BNB (BNB Chain)
calculadora-staking-dot-polkadot-nominator	apy	Calculadora de Staking DOT (Polkadot)
calculadora-staking-eth-anual-rewards	apr	Calculadora de Staking de ETH (Ethereum)
calculadora-staking-matic-polygon	apy	Calculadora de Staking MATIC (Polygon)
calculadora-staking-sol-solana-apy	apy	Calculadora de Staking SOL (Solana)
calculadora-sushiswap-lp-rewards	poolApr,sushiApr	Calculadora Sushiswap LP Rewards
calculadora-valor-presente-neto-vpn	tasaDescuento	Valor Presente Neto (VPN / NPV)
calculadora-volatilidad-implicita-opciones	tasaRiesgo	Calculadora de Volatilidad Implícita (IV) en Opciones
cedear-conversion-ratio	ratioCedear	CEDEAR — Precio Teórico por Ratio de Conversión
cedear-dividend-yield-2026	ratioConversion	CEDEAR dividend yield
conversion-cripto-ars	spreadExchange	Conversión Cripto a Pesos Argentinos
credito-universitario-progresar-monto-2026	nivel	Progresar 2026
credito-uva	tasaUVA,tasaFija	Crédito UVA vs. tasa fija
cuota-credito-hipotecario-uva-banco-nacion	tnaReal	Crédito hipotecario UVA: cuota
deuda-avalancha-vs-bola-nieve-comparar	deuda1Tasa,deuda2Tasa,deuda3Tasa	Avalancha vs Bola de Nieve — ¿Cuál Conviene para tus Deudas?
diversificacion-portafolio-correlacion	rendimientoActivo1,rendimientoActivo2	Efecto Diversificación por Correlación
facturacion-maxima-monotributo-vs-ri	actividad	Facturación Máxima del Monotributo — ¿Te Conviene Pasar a RI?
impermanent-loss-defi	apyPool	Calculadora de Impermanent Loss (Pérdida Impermanente)
inflacion-perdida-poder-adquisitivo	tasaAhorro	Inflación — ¿Cuánto Perdió tu Plata de Poder de Compra?
ingresos-brutos	actividad	Ingresos Brutos (IIBB) por provincia
liquidacion-apalancamiento	leverage,tasaMantenimiento	Calculadora de Precio de Liquidación por Apalancamiento
margen-seguridad-inversion	rendimientoBono	Margen de Seguridad (Fórmula de Graham)
monotributo-categoria-ingresos-tope	tipoActividad	Calculadora de categoría de monotributo por ingresos
monotributo-mejor-categoria-2026	actividad	Monotributo 2026 — ¿Cuál es tu Categoría Ideal?
monotributo	tipoActividad	Calculadora de monotributo 2026
pe-ratio-valuacion	tasaCrecimiento	Price-to-Earnings Ratio (P/E)
progresar-beca-monto-requisitos-2026	nivel	Progresar beca 2026: monto y requisitos
refinanciar-prestamo-ahorro-cuota	tasaActual,tasaNueva	Refinanciar Préstamo — Simulá el Ahorro en Cuota e Intereses
rentabilidad-staking	apyPorcentaje	Calculadora de Rentabilidad Staking Cripto
sharpe-ratio-portafolio	rendimientoPortafolio,tasaLibreRiesgo	Calculadora de Sharpe Ratio para tu portafolio de inversión
spread-tasas-arbitraje-bancos-plazo-fijo	tnaBancoA,tnaBancoB	Spread tasas arbitraje
staking-ethereum-rendimiento-apy	apyPorcentaje	Staking Ethereum rendimiento
sueldo-empleado-publico-nacional-sinep-agrupamiento	nivel	Sueldo empleado público nacional 2026 (SINEP)
