url,primary_keyword,search_intent,title,h1,meta_description,h1_alignment,description_alignment,on_page_action,target_source
https://hacecuentas.com/,Decisiones con números claros para Argentina,navegacional,Decisiones con números claros para Argentina — Hacé Cuentas,No adivines. Hacé cuentas.,"Hubs de decisión para resolver trabajo, alquiler, impuestos, finanzas, salud y vida cotidiana con números claros, fuentes y datos vigentes.",0,0.5,alineado,title-canonico
https://hacecuentas.com/aguinaldo-diciembre-2026,Aguinaldo Diciembre 2026,calculo,"Aguinaldo Diciembre 2026: cuándo cobro, cómo calcularlo","Aguinaldo Diciembre 2026: cuándo se cobra, cómo calcularlo y tabla de montos","Todo sobre el aguinaldo de diciembre 2026 en Argentina: fecha límite de pago (18/12), fórmula del SAC, tabla con ejemplos por sueldo, descuentos y qué…",1,1,alineado,title-canonico
https://hacecuentas.com/alertas,Alertas: te avisamos cuando cambian tus números,informacional,Alertas: te avisamos cuando cambian tus números,Te avisamos cuando cambian los números que te importan,"Sueldo, monotributo, salario mínimo, dólar, impuestos… Encontrá herramientas, ejemplos y fuentes para resolver alertas: te avisamos cuando cambian tus…",0.67,0.83,alineado,title-canonico
https://hacecuentas.com/alquiler,Calculadoras de alquiler,calculo,"Calculadoras de alquiler: ajuste, depósito y gastos","Antes de firmar, hacé todas las cuentas.","Calculá ajustes por ICL e IPC, depósito, comisión, expensas y costo total del alquiler con índices y ejemplos actualizados.",0,0.5,refuerzo-visible-automatico,title-canonico
https://hacecuentas.com/alquiler/aumento-de-alquiler,Calculadora de aumento de alquiler,calculo,Calculadora de aumento de alquiler: ICL e IPC 2026,¿Cuánto vas a pagar en tu próximo ajuste?,"Calculá el aumento del alquiler por ICL del BCRA, IPC del INDEC o porcentaje pactado. Revisá fórmula, coeficiente y cuota nueva.",0,1,refuerzo-visible-automatico,title-canonico
https://hacecuentas.com/alquiler/entrar-a-un-alquiler,Cuánta plata necesito para entrar a un alquiler,calculo,¿Cuánta plata necesito para entrar a un alquiler?,La llave cuesta más que el primer mes.,"Calculá la plata de entrada a un alquiler: primer mes, depósito, comisión inmobiliaria y seguro de caución, más el sueldo mínimo que te van a pedir.",0,0.5,refuerzo-visible-automatico,title-canonico
https://hacecuentas.com/argentina/cordoba/calculadora-ingresos-brutos-provincial,Calculadora de Ingresos Brutos Córdoba 2026,calculo,Calculadora de Ingresos Brutos Córdoba 2026 | Hacé Cuentas,Calculá IIBB y entendé qué estás pagando.,"Estimá Ingresos Brutos en Córdoba según actividad, facturación y alícuota provincial, con referencias oficiales y explicación del cálculo.",0,0.75,refuerzo-visible-automatico,title-canonico
https://hacecuentas.com/aumento-jubilaciones,Aumento jubilaciones agosto 2026,informacional,"Aumento jubilaciones agosto 2026: 1,9%",Aumento de jubilaciones: cuánto suben los haberes este mes,"Las jubilaciones aumentan 2,1% en julio 2026 (IPC de mayo… Encontrá herramientas, ejemplos y fuentes para resolver aumento jubilaciones julio 2026: 2,1%.",0.5,0.75,alineado,title-canonico
https://hacecuentas.com/auto,Calculadoras para el auto,calculo,"Calculadoras para el auto: consumo, costos y mantenimiento",Tu auto cuesta más que la nafta.,"Calculá combustible, costo por kilómetro, patente, seguro, financiación y mantenimiento para conocer el costo total real de tener un auto.",0.5,0.5,alineado,title-canonico
https://hacecuentas.com/auto/auto-o-uber,Precio de remis por km 2026 y comparador auto vs. Uber,comparacion-comercial,Precio de remis por km 2026 y comparador auto vs. Uber,¿Te conviene tener auto o pedir un viaje?,"Calculá cuánto sale un remis por kilómetro en 2026 y compará el viaje contra Uber, DiDi, Cabify, colectivo o auto propio, incluyendo patente, seguro…",0.17,0.67,alineado,title-canonico
https://hacecuentas.com/auto/consumo,Cuánto consume mi auto? Calculadora de consumo real,calculo,¿Cuánto consume mi auto? Calculadora de consumo real,Descubrí cuánto gasta realmente tu auto.,"Medí el consumo real de tu auto en L/100 km y km/L con… Encontrá herramientas, ejemplos y fuentes para resolver cuánto consume mi auto?",0.25,1,alineado,title-canonico
https://hacecuentas.com/auto/costo-anual,Cuánto cuesta tener un auto por año? Costo real,comparacion-comercial,¿Cuánto cuesta tener un auto por año? Costo real,Tu auto cuesta incluso cuando está estacionado.,"Sumá todo lo que te cuesta el auto en un año: nafta, seguro, patente, service, VTV, cochera y la depreciación que casi nadie cuenta.",0.33,0.5,alineado,title-canonico
https://hacecuentas.com/auto/electrico-vs-nafta,Conviene un auto eléctrico o GNC en vez de nafta,comparacion-comercial,¿Conviene un auto eléctrico o GNC en vez de nafta?,¿El eléctrico se paga solo? Hacé la cuenta completa.,"Cuánto sale cargar un eléctrico contra llenar el tanque, cuánto ahorrás por año, en cuántos años se repaga el sobreprecio del eléctrico, en cuántos meses…",0.17,0.17,alineado,title-canonico
https://hacecuentas.com/auto/ficha-tecnica,Ficha técnica del auto,informacional,"Ficha técnica del auto: potencia, torque, carga y frenado","Los números del auto, traducidos a uso real.","Traducí los números de la ficha técnica: cilindrada en cc y litros, HP a kW y CV, torque en Nm o lb·ft, relación potencia/peso y velocidad máxima, carga…",0.33,0.67,alineado,title-canonico
https://hacecuentas.com/auto/importar-y-nacionalizar,Importar y nacionalizar un auto en Argentina,informacional,Importar y nacionalizar un auto en Argentina: costo total,¿Me conviene importar y nacionalizar un auto en Argentina?,"Compará el costo total de importar y nacionalizar un auto en Argentina frente a comprarlo acá: flete, aranceles, homologación, registro y puesta en calle.",1,1,alineado,title-canonico
https://hacecuentas.com/auto/mantenimiento,"Neumáticos, aceite y service",informacional,"Neumáticos, aceite y service: ¿cuándo y cuánto?","Sabé qué toca hacer y cuándo, sin adivinar.","Medida equivalente de neumático con el porcentaje de desviación del velocímetro, conversión exacta de presión PSI/bar/kPa, intervalo de aceite…",0,0.33,refuerzo-visible-automatico,title-canonico
https://hacecuentas.com/auto/nafta-y-peajes,Costo de viaje en auto,comparacion-comercial,"Costo de viaje en auto: nafta, consumo y peajes","Antes de salir, sabé cuánto vas a gastar.","Calculá el costo real de tu viaje en auto: litros de nafta o gasoil con el precio oficial de tu provincia, peajes con y sin Telepase, desgaste del auto…",0,1,refuerzo-visible-automatico,title-canonico
https://hacecuentas.com/auto/patente,Cuánto pago de patente? Calculadora por provincia 2026,calculo,¿Cuánto pago de patente? Calculadora por provincia 2026,Calculá tu patente y entendé cada peso que pagás.,"Calculá la patente de tu auto o moto según tu provincia: alícuota aplicada, patente anual, valor de cada cuota y comparación con el resto del país.",0.25,0.5,alineado,title-canonico
https://hacecuentas.com/auto/tramites,Trámites del auto 2026,informacional,"Trámites del auto 2026: transferencia, patentamiento","Sabé qué llevar, cuánto pagar y qué sigue.","Cuánto sale cada trámite del auto en Argentina: transferir un usado, patentar un 0km, sacar o renovar la licencia de conducir y pagar una multa.",0,0.33,refuerzo-visible-automatico,title-canonico
https://hacecuentas.com/auto/vtv,Cuándo me toca la VTV y cuánto me sale,comparacion-comercial,¿Cuándo me toca la VTV y cuánto me sale?,¿Cuándo me toca la VTV y cuánto voy a pagar?,"Calculá cuándo vence tu VTV según la antigüedad del vehículo y la última revisión, cuántos meses dura el certificado y cuánto cuesta en tu provincia.",0.75,0.5,alineado,title-canonico
https://hacecuentas.com/autores/martin-rodriguez,Martín Rodríguez,navegacional,Martín Rodríguez — Autor y editor de Hacé Cuentas,Martín Rodríguez,"Martín Rodríguez es emprendedor, desarrollador y creador de hacecuentas.com. Bio, áreas que cubre, metodología y disclaimer profesional.",1,1,alineado,title-canonico
https://hacecuentas.com/aviso-legal,Aviso legal y descargo de responsabilidad,navegacional,Aviso legal y descargo de responsabilidad | Hacé Cuentas,Aviso legal y descargo de responsabilidad,"Aviso legal: Hacé Cuentas provee herramientas educativas e informativas. No brindamos asesoramiento financiero, médico, legal ni tributario personalizado.",1,0.5,alineado,title-canonico
https://hacecuentas.com/bebes,Calculadoras para bebés,calculo,"Calculadoras para bebés: crecimiento, pañales y cuidados",Ubicá su edad. Acompañá su propio ritmo.,"Consultá crecimiento, percentiles, alimentación, sueño, pañales y gastos del primer año con referencias pediátricas y orientación no diagnóstica.",0,0,refuerzo-visible-automatico,title-canonico
https://hacecuentas.com/bebes/crecimiento,"Mi bebé crece bien? Percentil de peso OMS, prematuros",informacional,"¿Mi bebé crece bien? Percentil de peso OMS, prematuros",¿Está creciendo bien tu hijo?,"Percentil de peso del bebé con las tablas LMS oficiales de la OMS, edad corregida si nació prematuro, hitos del desarrollo mes a mes y cronología…",0.14,0.57,alineado,title-canonico
https://hacecuentas.com/blog,Blog — Hacé Cuentas — calculadoras y guías,calculo,Blog — Hacé Cuentas — calculadoras y guías | Hacé Cuentas,"La economía real, explicada sin vueltas.","La economía real, explicada sin vueltas. Usá herramientas gratuitas, ejemplos claros y fuentes documentadas para entender el resultado y decidir mejor.",0,0,refuerzo-visible-automatico,title-canonico
https://hacecuentas.com/blog/7-errores-al-calcular-el-costo-de-construccion-por-m2,7 errores al calcular el costo de construcción por m²,calculo,7 errores al calcular el costo de construcción por m²,7 errores al calcular el costo de construcción por m²,"Evitá siete errores al calcular el costo por m²: superficie, terminaciones, instalaciones, permisos, honorarios y actualización.",1,0.67,alineado,title-canonico
https://hacecuentas.com/blog/7-errores-al-calcular-las-semanas-de-embarazo,7 errores al calcular las semanas de embarazo,calculo,7 errores al calcular las semanas de embarazo,7 errores al calcular las semanas de embarazo,"Evitá siete errores al calcular semanas de embarazo: fecha, ciclos irregulares, meses, ecografías y síntomas que no debe interpretar una app.",1,1,alineado,title-canonico
https://hacecuentas.com/blog/7-errores-al-calcular-tu-peso-ideal-y-tu-imc,7 errores al calcular tu peso ideal y tu IMC,calculo,7 errores al calcular tu peso ideal y tu IMC,7 errores al calcular tu peso ideal y tu IMC,"Evitá siete errores frecuentes al calcular el IMC y el peso ideal: unidades, metas, cintura, mediciones y contexto personal antes de decidir.",1,1,alineado,title-canonico
https://hacecuentas.com/blog/7-errores-al-calcular-un-aumento-de-alquiler,7 errores al calcular un aumento de alquiler,calculo,7 errores al calcular un aumento de alquiler,7 errores al calcular un aumento de alquiler,"Evitá siete errores al calcular el aumento de alquiler: fechas, índices, acumulación, redondeos, expensas y cláusulas del contrato.",1,1,alineado,title-canonico
https://hacecuentas.com/blog/7-errores-al-comparar-tu-sueldo-con-el-convenio,7 errores al comparar tu sueldo con el convenio,comparacion-comercial,7 errores al comparar tu sueldo con el convenio,7 errores al comparar tu sueldo con el convenio,"Evitá siete errores al comparar tu recibo con un convenio: actividad, categoría, jornada, bruto, neto, zona y adicionales.",1,0.75,alineado,title-canonico
https://hacecuentas.com/blog/7-errores-al-identificar-tu-generacion,7 errores al identificar tu generación,informacional,7 errores al identificar tu generación,7 errores al identificar tu generación,"Evitá siete errores al identificar generaciones: edad, año, país, límites, memes y segmentaciones que no son universales.",1,0.67,alineado,title-canonico
https://hacecuentas.com/blog/7-errores-al-pasar-de-sueldo-bruto-a-neto,7 errores al pasar de sueldo bruto a neto,calculo,7 errores al pasar de sueldo bruto a neto,7 errores al pasar de sueldo bruto a neto,"Evitá siete errores al calcular sueldo neto: porcentajes, bonos, obra social, sindicato, Ganancias, período y supuestos.",1,0.6,alineado,title-canonico
https://hacecuentas.com/blog/7-errores-al-revisar-la-declaracion-de-renta-en-colombia,7 errores al revisar la declaración de renta en Colombia,informacional,7 errores al revisar la declaración de renta en Colombia,7 errores al revisar la declaración de renta en Colombia,"Evitá siete errores en renta Colombia: año gravable, ingresos, patrimonio, consumos, deducciones, UVT y fechas DIAN.",1,0.6,alineado,title-canonico
https://hacecuentas.com/blog/7-errores-al-revisar-una-liquidacion-final,7 errores al revisar una liquidación final,informacional,7 errores al revisar una liquidación final,7 errores al revisar una liquidación final,"Evitá siete errores al revisar una liquidación final: sueldo, días, vacaciones, SAC, bruto, neto y regímenes especiales.",1,1,alineado,title-canonico
