collection,slug,url,category,suggestedRisk,declaredYmylRisk,returnsDoseOrTreatment,personalizedRecommendation,hasProfessionalReviewer,currentlyIndexable,currentlyRestricted,matchedTerms,reasons,recommendedAction
calcs-en,athlete-hydration-calculator,/en/athlete-hydration-calculator,deportes,high,low,false,true,false,true,false,ml/kg,"Recomendación personalizada por datos del cuerpo (peso/edad/altura); Dosis/medicación: ml/kg",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs-en,blood-alcohol-bac-widmark,/en/blood-alcohol-bac-widmark,salud,high,low,false,false,false,true,false,dosis,Dosis/medicación: dosis,"REVISIÓN HUMANA: concepto de riesgo alto prominente pero sin dosis prescriptiva; evaluar noindex"
calcs-en,blood-pressure-normal-hypertension,/en/blood-pressure-normal-hypertension,salud,high,low,true,false,false,true,false,"medicacion; tratamiento","Devuelve dosis o pauta de tratamiento en outputs/fórmula; Término de riesgo alto en slug/título/outputs: medicacion; Tratamiento/retorno deportivo: tratamiento",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs-en,blood-pressure-who-classification,/en/blood-pressure-who-classification,salud,high,low,false,false,false,true,false,tratamiento,Tratamiento/retorno deportivo: tratamiento,"REVISIÓN HUMANA: concepto de riesgo alto prominente pero sin dosis prescriptiva; evaluar noindex"
calcs-en,burnout-mbi-assessment,/en/burnout-mbi-assessment,salud,high,low,true,false,false,true,false,tratamiento,"Devuelve dosis o pauta de tratamiento en outputs/fórmula; Tratamiento/retorno deportivo: tratamiento",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs,calculadora-acidez-orina-alimentos,/calculadora-acidez-orina-alimentos,salud,high,low,false,false,false,true,false,"medicacion; magnesio",Término de riesgo alto en slug/título/outputs: magnesio,"REVISIÓN HUMANA: concepto de riesgo alto prominente pero sin dosis prescriptiva; evaluar noindex"
calcs,calculadora-alimento-diario-perro,/calculadora-alimento-diario-perro,mascotas,high,low,false,false,false,true,false,"dosis; ml/kg; sintomas","Dosis/medicación: dosis, ml/kg; Señales clínicas: sintomas; Dosis/medicación veterinaria (categoría mascotas)","REVISIÓN HUMANA: concepto de riesgo alto prominente pero sin dosis prescriptiva; evaluar noindex"
calcs-es,calculadora-beca-erasmus-mensualidad-pais-destino-2026,/es/calculadora-beca-erasmus-mensualidad-pais-destino-2026,educacion,high,low,false,false,false,true,false,suplemento,Término de riesgo alto en slug/título/outputs: suplemento,"REVISIÓN HUMANA: concepto de riesgo alto prominente pero sin dosis prescriptiva; evaluar noindex"
calcs,calculadora-calcio-diario-edad-lactancia-menopausia,/calculadora-calcio-diario-edad-lactancia-menopausia,salud,high,low,false,true,false,true,false,"medicacion; suplemento",Recomendación personalizada por datos del cuerpo (peso/edad/altura),RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
calcs,calculadora-castracion-edad-ideal-perro-gato,/calculadora-castracion-edad-ideal-perro-gato,mascotas,high,low,false,true,false,true,false,"medicacion; lesion","Recomendación personalizada por datos del cuerpo (peso/edad/altura); Señales clínicas: lesion; Dosis/medicación veterinaria (categoría mascotas)",RESTRINGIR: ymylRisk:high + distribution:restricted + noindex y desactivar cálculo prescriptivo (Fase 5A/B/C)
