prioridad,winnability,categoria,slug,keyword_ganable,intent,keywords_alt,razon
1,WINNABLE,WINNABLE,premature-infant-corrected-age,corrected age calculator for premature babies,Calcular la edad corregida de un bebé prematuro,adjusted age calculator preemie | corrected age from gestational weeks,"Nicho muy específico (padres de preemies); pocas calc dedicadas, competencia son hospitales infantiles. Gap claro y ganable. (category=salud)"
1,WINNABLE,automotor,aceite-motor-capacidad-cambio-km,oil change interval calculator by oil type and km,Find exactly when the next oil change is due based on current km and oil type,when is my next oil change due km | synthetic vs conventional oil change interval km,"SERP is small niche calculators (procalclab, calcuwiz, engineoiljournal) — no DR80 aggregator lock. The km + oil-type angle is specific and underserved; most competitors work in miles."
1,WINNABLE,automotor,car-battery-cca-calculator,car battery cca calculator by engine size,Determine the CCA a car battery needs by engine size/fuel and climate,how many cca do i need for my car | cca requirement by engine size and climate,CCA-needed is a specific technical query with genuine demand and no aggregator lock. Current target 'car battery charger' is a product/shopping mismatch entirely.
1,WINNABLE,automotor,extra-ac-fuel-consumption,how much extra fuel does car air conditioning use calculator,Estimate extra fuel burned by the car A/C per hour/day/month,car ac fuel consumption per hour | does air conditioning use more gas calculator,"Confirmed SERP is all article/blog content (kwik-fit, quora, leaseloco) — zero dedicated calculator competing. Clear tool gap for a curiosity-driven query with steady demand."
1,WINNABLE,automotor,truck-payload-capacity-calculator,truck payload capacity calculator from gvwr and curb weight,Find a truck's real payload capacity from GVWR and curb weight,how to calculate truck payload capacity | truck payload calculator gvwr minus curb weight,"Specific formula-driven intent, niche audience (truck owners/towing), and the SERP is mostly content/forums rather than DR80 tools. Strong gap."
1,WINNABLE,ciencia,dilution-concentration-c1v1-c2v2,c1v1=c2v2 dilution calculator,"Solve C1V1=C2V2 for final volume, concentration or stock volume",dilution calculator final volume and concentration | stock solution dilution calculator molarity,Formula-specific lab query with steady student/lab demand. Tocris/Sigma have brand tools but the generic C1V1 SERP has room; strong specific intent.
1,WINNABLE,ciencia,parallax-distance-parsecs,parallax to parsecs calculator d = 1/p,Convert stellar parallax (arcseconds) to distance in parsecs/light-years,stellar parallax to distance calculator | arcseconds to parsecs and light years calculator,"Very specific astronomy conversion, low competition (mostly educational content, few tools), genuine niche demand. Clean gap for a dedicated calc + reference table."
1,WINNABLE,ciencia,redshift-radial-velocity,redshift to radial velocity calculator,Convertir un valor de redshift z a velocidad radial en km/s,convert redshift z to velocity km/s | relativistic redshift velocity calculator,"Nicho astronómico ultra-específico, casi sin calculadoras dedicadas. Intent claro (z -> km/s). El keyword actual 'radial velocity' es demasiado amplio/nonsense; el correcto es la conversión desde redshift."
1,WINNABLE,ciencia,richter-scale-magnitude-energy,richter magnitude to energy calculator joules,Convertir una magnitud Richter a energía liberada en joules o equivalente TNT,earthquake magnitude to TNT calculator | richter scale energy release calculator,Conversión magnitud->energía (joules/TNT) es específica y con demanda estable. El keyword 'earthquake magnitude scale' es informacional genérico (mismatch); el ganable es la conversión a energía.
1,WINNABLE,ciencia,weight-on-other-planets,weight on other planets calculator,"Saber cuánto pesaría una persona en la Luna, Marte y otros planetas",how much would I weigh on Mars calculator | weight on the moon calculator,Nicho educativo viral-friendly con intent muy concreto y curiosidad alta. Hay competencia (exploratorium/NASA) pero la calc interactiva con tabla de todos los planetas tiene demanda y gap para dominio nuevo.
