check,result,reason
1. Build exitoso,PASS,"Ultimo full build EXIT 0 (deploy 21 BIS: 5939 HTMLs, sin paginas rotas). Cambios de esta ejecucion re-validados en build final."
2. Sin URLs noindex en sitemap,PASS,"sitemap-audit.csv: 0 NOINDEX_IN_SITEMAP (content-policy.canDistribute filtra restringidas)."
3. Sin redirects en sitemap,PASS,"Corregido: filtro _redirects en generate-sitemap.ts strippeo 11 zombies 301. Verificado 0 en todos los sitemaps."
4. Sin canonicals rotos,PASS,"Los 11 FIX_CANONICAL de opportunities son canonicalSlug INTENCIONALES (consolidaciones previas), no rotos."
5. Sin hreflang a URLs inexistentes,SKIPPED,"Auditoria hreflang dedicada no corrida en esta pasada; hreflang-index se genera en prebuild (1361 entradas, sin errores en build)."
6. Sin titulos vacios,PASS,"url-inventory.csv: 0 calcs con title vacio."
7. Un solo H1 por pagina,SKIPPED,"No auditado por-pagina; la plantilla CalcLayoutV2 emite exactamente 1 H1."
8. Sin print-header en HTML inicial,PASS,"Layout.astro inyecta .print-header solo en beforeprint + data-nosnippet (auditado)."
9. Sin reviewer falso,PASS,"AuthorByline default 'Editado por'; 0 hardcodes 'Revisado por Martin'/'Formula revisada' en src/."
10. Sin funciones sensibles activas en riesgo alto,PASS,"content-policy + tests sensitive-permissions 6/6: riesgo alto sin revisor => todos los permisos false."
11. Sin medicas riesgo alto en related,PASS,"RelatedCalcs filtra por canDistributeCalc."
12. Sin medicas riesgo alto en buscador,PASS,"search-index.json.ts filtra por canDistributeCalc."
13. Sin medicas riesgo alto en widgets,PASS,"embed gateado por canEmbedCalc (restringidas=false)."
14. Orden correcto del resultado,PASS,"CalcLayoutV2: form->resultado->respuesta->tabs->relacionados->descargas."
15. Enlaces internos validos,PASS,"prebuild link-guard: 0 errores (relatedSlugs validados)."
16. Redirects sin cadenas,SKIPPED,"No re-auditado esta pasada; trabajo previo de cadenas (middleware+_redirects) vigente."
17. Sitemap index valido,PASS,"51 sitemaps, 7329 URLs, index generado sin error."
18. lastmod valido,PASS,"max(lastReviewed, dataUpdate.lastUpdated, git mtime), clamp a hoy, NO build time."
