proposed_title,proposed_slug,reason,existing_equivalent,evidence
Calculadora de carne por persona,calculadora-carne-por-persona,ALREADY_EXISTS,carne-asado-kg-por-persona.json,"Cubierto por el master de asado y carne-asado-kg-por-persona"
Calculadora de hamburguesas por invitado,calculadora-hamburguesas-por-invitado,ALREADY_EXISTS,cantidad-hamburguesas-parrilla-cumpleanos.json,"Misma formula y intencion"
Calculadora de tacos por persona,calculadora-tacos-por-persona,DUPLICATE_INTENT,comida-para-invitados.json,"comida-para-invitados incluye tacos (3-4 por persona)"
Calculadora de pizza por persona,calculadora-pizza-por-persona,ALREADY_EXISTS,calculadora-pizza-por-invitado-porciones.json,"Head canonico del cluster pizza"
Calculadora de empanadas por persona,calculadora-empanadas-por-persona,ALREADY_EXISTS,calculadora-empanadas-por-persona-evento-asado-cumple.json,"Misma intencion"
Calculadora de bebidas para una fiesta,calculadora-bebidas-fiesta,ALREADY_EXISTS,bebidas-evento-litros-por-persona.json,"Cluster bebidas-evento con multiples calcs por bebida"
Calculadora de postre por invitado,calculadora-postre-por-invitado,ALREADY_EXISTS,torta-personas-kg-porciones.json,"Cubierto por torta y helado por evento"
Calculadora de presupuesto para una comida,calculadora-presupuesto-comida,DUPLICATE_INTENT,comida-para-invitados.json,"comida-para-invitados cubre el planificado de comida"
Calculadora de costo por invitado,calculadora-costo-por-invitado,ALREADY_EXISTS,costo-fiesta-cumpleanos-infantil-invitados.json,"Costo por invitado ya cubierto"
Calculadora para dividir gastos de una reunion,calculadora-dividir-gastos-reunion,ALREADY_EXISTS,split-gastos-grupo-amigos.json,"Split de gastos entre grupo ya existe"
Calculadora de mesas necesarias,calculadora-mesas-necesarias,ALREADY_EXISTS,calculadora-sillas-mesas-invitados.json,"Sillas y mesas en una sola calc"
Calculadora de sillas necesarias,calculadora-sillas-necesarias,ALREADY_EXISTS,calculadora-sillas-mesas-invitados.json,"Sillas y mesas en una sola calc"
Calculadora de picada por persona,calculadora-picada-por-persona,ALREADY_EXISTS,calculadora-fiambre-queso-por-invitado-picada.json,"Fiambre y queso por invitado (picada)"
Calculadora de agua por persona en evento,calculadora-agua-por-persona-evento,ALREADY_EXISTS,calculadora-agua-por-invitado-fiesta.json,"Agua por invitado ya existe"
Calculadora de combustible por distancia,calculadora-combustible-por-distancia,ALREADY_EXISTS,consumo-nafta-litros-100km.json,"Consumo de nafta L/100km ya existe"
Calculadora de costo de peajes,calculadora-costo-peajes,ALREADY_EXISTS,costo-peaje-ruta.json,"Costo de peaje por ruta"
Calculadora de gasto por persona en escapada,calculadora-gasto-persona-escapada,ALREADY_EXISTS,presupuesto-viaje.json,"Presupuesto de viaje con costo por persona"
