a1c-hemoglobina-glicosilada-diabetes	hba1c	HbA1c a promedio de glucosa
agua-diaria-deportista	intensidad	Calculadora de hidratación diaria para deportistas
agua-diaria	actividad	Calculadora de agua diaria recomendada
beta-hcg	nivelHCG	Calculadora de niveles de beta hCG
bmr	actividad	Calculadora de metabolismo basal (BMR) y TDEE
calculadora-calorias-ciclismo-intensidad	intensidad	Calorías quemadas en bicicleta
calculadora-calorias-crossfit-wod-benchmark	intensidad	Calorías quemadas en WOD de CrossFit (Fran, Cindy, Murph, Helen)
calculadora-calorias-futbol-5-7-11	modalidad	Calorías quemadas jugando fútbol
calculadora-calorias-padel-hora-intensidad	intensidad	Calorías quemadas jugando pádel (recreativo vs competitivo)
calculadora-calorias-pickleball-peso-tiempo	nivel	Calorías quemadas jugando pickleball
calculadora-calorias-quemadas-arquero-partido-90-min	intensidad	Calorías quemadas por un arquero en un partido de fútbol
calculadora-calorias-tenis-padel-jugador	deporte	Calorías quemadas en tenis y pádel
calculadora-colesterol-ldl-hdl-ratio	hdl	Calculadora de Ratio Colesterol LDL/HDL (Riesgo Cardiovascular)
calculadora-distancia-recorrida-futbolista-por-posicion	nivel	Distancia recorrida por un futbolista según su posición
calculadora-electrolitos-pre-post-entreno	intensidad	Calculadora de Electrolitos Pre y Post Entreno
calculadora-escala-eva-dolor	valor	Calculadora de Escala EVA del Dolor
calculadora-framingham-riesgo-cardiovascular	hdl	Calculadora de riesgo cardiovascular Framingham
calculadora-hidratacion-clima-calor	intensidad	Calculadora de Hidratación en Clima Caluroso
calculadora-macros-keto-dieta	ratio	Calculadora de Macros Keto (Dieta Cetogénica)
calculadora-retorno-futbol-post-covid-cardio-semanas	nivelCompetencia	Retorno al fútbol post-COVID: semanas de reposo y evaluación cardiológica
calculadora-tiempo-recuperacion-fractura-tibia-perone-futbolista	nivelCompetencia	Tiempo de recuperación de fractura de tibia y/o peroné en futbolistas
calculadora-tiempo-recuperacion-isquiotibial-grado-1-2-3	nivelCompetencia	Tiempo de recuperación de lesión isquiotibial (grado 1, 2 y 3)
calculadora-tiempo-recuperacion-rotura-lca-ligamento-cruzado	nivelCompetencia	Tiempo de recuperación de rotura de LCA (ligamento cruzado anterior) en futbolistas
calculadora-vo2-max-futbolista-profesional-vs-amateur	nivel	VO2 max de un futbolista: profesional vs amateur
calorias-cuerda	intensidad	Calculadora de Calorías Saltando la Cuerda
calorias-deporte	actividad	Calorías quemadas según actividad deportiva
calorias-embarazo-trimestre	actividad	Calculadora de calorías extra en el embarazo por trimestre
calorias-lactancia-produccion-leche	actividad	Calculadora de calorías extra en la lactancia
calorias-lactancia	actividadMadre	Calculadora de calorías extra durante la lactancia
calorias-remo	intensidad	Calculadora de Calorías en Remo Indoor
calorias-tdee	actividad	Calculadora de calorías diarias (TDEE)
carbohidratos-durante-ejercicio	intensidad	Calculadora de carbohidratos durante el ejercicio
deficit-calorico-perder-peso-semana	tdee	Déficit calórico semanal para bajar peso
descanso-series	intensidad	Calculadora de Descanso entre Series
dosis-acido-folico	factorRiesgo	Calculadora de dosis de ácido fólico
electrolitos-atleta-sudor-reposicion	intensidad	Electrolitos atleta
evaluacion-hidratacion	actividadFisica	Calculadora de evaluacion de hidratacion diaria
frecuencia-entrenamiento-grupo-muscular	nivel	Frecuencia semanal por grupo
handicap-golf-estimado	score1,score2,score3	Calculadora de handicap de golf estimado según scores
hidratacion-diaria-personalizada	actividad	Calculadora de hidratación diaria personalizada
hidratacion-ejercicio-ml	intensidad	Calculadora de hidratación durante el ejercicio (ml/hora)
hidratacion-ejercicio	intensidad	Calculadora de hidratacion durante ejercicio
macros-dieta-keto-cetogenica-calculadora	nivel	Calculadora keto: macros diarios
macros-dieta	actividad	Calculadora de macronutrientes
macros-objetivo-fitness	actividad	Calculadora de macronutrientes según objetivo fitness
necesidad-calorica-hospitalizado	factorActividad,factorEstres	Calculadora de necesidad calórica del paciente hospitalizado
plan-entrenamiento-10k-semanas	nivel	Plan entrenamiento 10K
plan-entrenamiento-21k-semi-maraton-semanas	nivel	Plan entrenamiento 21K SEMI MARATON
plan-entrenamiento-5k-semanas	nivel	Plan entrenamiento 5K
plan-entrenamiento-maraton-42k-semanas	nivel	Plan entrenamiento MARATON 42K
protector-solar-spf	exposicion,actividad	Calculadora de protector solar (SPF) según fototipo
proteina-diaria-peso	actividad	Calculadora de proteína diaria por peso y nivel de actividad
recuperacion-muscular-horas	intensidad	Calculadora de tiempo de recuperación muscular entre entrenamientos
riesgo-cardiovascular-framingham	hdl	Calculadora de riesgo cardiovascular — Score de Framingham simplificado
riesgo-diabetes-findrisc-v2	imc	Calculadora FINDRISC completa — Riesgo de diabetes tipo 2 a 10 años
riesgo-diabetes-findrisc	imc	Calculadora de riesgo de diabetes tipo 2 (FINDRISC)
score-apgar-neonatal	actividad	Calculadora de puntaje APGAR para recién nacidos
superavit-calorico-volumen	actividad	Calculadora de superávit calórico para ganar masa muscular
superavit-calorico	actividad	Calculadora de superávit calórico
tasa-metabolica-reposo-katch	actividad	Calculadora de tasa metabólica en reposo — Katch-McArdle
umbral-lactato-estimado	nivel	Calculadora de umbral de lactato estimado según FC máxima
volumen-semanal-hipertrofia-musculo-series	nivel	Volumen semanal hipertrofia
volumen-semanal-series-grupo-muscular	nivel	Volumen semanal (series/grupo)
